Code,Title
00200,Graduate Certificate in Studies
00500,Master of Studies
00710,Master of Philosophy (research)
00810,Doctor of Philosophy
00840,Doctor of Philosophy and Master of Clinical Audiology
00880,Doctor of Philosophy and Master of Forensic Science
01810/52520,Doctor of Philosophy and Master of Infectious Diseases
01870/54570,Doctor of Philosophy and Master of Clinical Psychology
01880/54580,Doctor of Philosophy and Master of Industrial and Organisational Psychology
01890/54590,Doctor of Philosophy and Master of Clinical Neuropsychology
10370,Graduate Diploma in Advanced Social Work
10970,Doctor of Social Work
11111,Master of Quantum Technology and Computing
11240,Graduate Certificate in Music Practitioner Studies
11260,Graduate Certificate in Mental Health Practice
11270,Graduate Certificate in Social Policy Practice
11280,Graduate Certificate in Child Protection Practice
11340,Graduate Diploma in Music Practitioner Studies
11380,Graduate Diploma in International Relations
11530,Master of Medieval and Early Modern Studies
11540,Master of Music Practitioner Studies
11550,Master of Social Work
11580,Master of International Relations
11590,Master of International Journalism
12210,Graduate Certificate in Professional Archaeology
12220,Graduate Certificate in Translation Studies
12230,Graduate Certificate in Heritage Studies
12240,Graduate Certificate in Strategic Communication
12250,Graduate Certificate in Environmental Planning
12260,Graduate Certificate in Social Research Methods
12270,Graduate Certificate in Public Policy (Public Administration and Governance)
12270,Graduate Certificate in Fieldwork Practice
12280,Graduate Certificate in International Relations
12290,Graduate Certificate in Urban and Regional Planning
12310,Graduate Diploma in Professional Archaeology
12320,Graduate Diploma in Translation Studies
12330,Graduate Diploma in Heritage Studies
12340,Graduate Diploma in Strategic Communication
12345,Graduate Certificate in Healthy Ageing
12345,Master of Exercise Science
12345,Graduate Certificate in Bioinformatics
12360,Graduate Diploma in Social Research Methods
12510,Master of Professional Archaeology
12520,Master of Translation Studies
12530,Master of Heritage Studies
12540,Master of Strategic Communication
12550,Master of Music International Pedagogy
12560,Master of Social Research Methods
12570,Master of Music International Pedagogy
12580,Master of Asian Studies
13280,Graduate Certificate in Asian Studies
13380,Graduate Diploma in Asian Studies
13550,Master of Environmental Planning
20310,Graduate Diploma in Criminal Justice
20320,Graduate Diploma in Law
20350,Graduate Diploma in Legal Practice
20360,Graduate Diploma in Commercial and Resources Law
20370,Graduate Diploma in Mining and Energy Law
20390,Graduate Diploma in Chinese Business Law
20500,Master of Laws
20510,Master of Criminal Justice
20550,Master of Mining and Energy Law
20560,Master of Resources and International Commercial Law
20590,Masters of Family Conflict Resolution
20590,Executive Master of Public Administration 
20810,Doctor of Juridical Science
20820,Juris Doctor
21310,Graduate Diploma in International Commercial Law
21320,Graduate Diploma in International Law
21330,Graduate Diploma in Intellectual Property Law
21340,"Graduate Diploma in Law, Policy and Government"
21350,Graduate Diploma in Taxation Law
21360,Graduate Diploma in Natural Resources Law
21380,Graduate Diploma in Insurance Law
21390,Graduate Diploma in Family Conflict Resolution
21510,Master of International Commercial Law
21520,Master of International Law
21530,"Master of Law, Policy and Government"
21550,Master of Taxation Law
21560,Master of Legal Practice
21580,Master of Technology Law and Governance
25210,Graduate Certificate in Urban Design
25240,Graduate Certificate in Building Information Modelling
25240,Graduate Certificate in Architectural Conservation
25240,Graduate Diploma in Building Information Modelling
25250,Graduate Certificate in Urban Design (online)
25310,Graduate Diploma in Urban Design
25340,Graduate Diploma in Building Information Modelling
25360,Graduate Diploma in Building Information Modelling (Online)
25400,Master of Landscape Architecture Preliminary
25520,Master of Architecture
25530,Master of Urban Design
25540,Master of Building Information Modelling
25550,Master of Landscape Architecture
25560,Master of Building Information Modelling (Online)
30240,Graduate Diploma in Educational Leadership (articulated)
30250,Graduate Certificate in Tertiary Teaching
30260,Graduate Certificate in Educational Research
30330,Graduate Diploma in Educational Studies (non-articulated)
30360,Graduate Diploma in School Psychology
30380,Graduate Diploma in Mental Health and Wellbeing in Education
30520,Master of Educational Leadership
30580,Master of Education
30810,Doctor of Education
31310,Graduate Diploma in Professional Education
31400,Graduate Diploma in Education
31520,Master of Teaching - Primary
31650,Master of Educational Leadership
31700,Master of Education
31810,Doctor of Education
32310,Graduate Diploma in Curriculum Studies
32320,Graduate Diploma in School Leadership
32330,Graduate Certificate in Early Childhood Education and Care
32510,Master of Curriculum Studies
32520,Master of School Leadership
32530,Master of Teaching (Teach for Australia)
32540,Master of Teaching - F12
32550,Master of Teaching – Secondary
33310,Graduate Diploma in Professional Education
33333,Master of Artificial Intelligence
40250,Graduate Certificate in Business Communications
40260,Graduate Certificate in Social Impact
40610,Master of Professional Accounting
40750,Master of Economic Policy
40830,Doctor of Business Administration
41210,Graduate Certificate in Business
41211,Graduate Certificate in Business
41220,Graduate Certificate in Leadership
41230,Graduate Certificate in Entrepreneurship and Innovation
41240,Graduate Certificate in Business (Online)
41250,Graduate Certificate in Finance
41260,Graduate Certificate in Human Resources and Employment Relations
41270,Graduate Certificate in Business Information and Logistics Management
41280,Graduate Certificate in Commerce
41290,Graduate Certificate in Marketing
41390,Graduate Certificate in Digital Marketing
41650,Master of Commerce (Advanced)
41660,Master of Human Resources and Employment Relations
41670,Master of Business Information  and Logistics Management
41680,Master of Commerce
41690,Master of Marketing
41780,Master of Management
42200,Graduate Certificate in Health Leadership and Management
42230,Graduate Certificate in Economics
42260,Graduate Certificate in Commerce (Online)
42270,Graduate Certificate in Business (online)
42270,Graduate Certificate in Business Analytics
42280,Master of Business Analytics
42280,Graduate Certificate in Public Policy
42290,Graduate Certificate in Health Economics and Analysis
42300,Graduate Certificate in Health Economics and Analysis
42330,Graduate Diploma in Economics
42340,Graduate Diploma in Commerce (Chartered Accounting)
42520,Master of Business Administration
42530,Master of Business Administration (Online)
42530,Master of Business Administration Online
42540,Master of Business Administration (Online)
42560,Master of Applied Finance
42580,Master of Public Policy
42610,Master of Professional Accounting (Advanced) 
42620,Master of Economics
42630,Master of Business Analytics
42640,Master of Business Analytics - Global
42650,Master of Business Administration - Global
42660,Master of Professional Accounting (Chartered Accounting)
42660,Master of Business Data Analytics (Online)
42670,Master of Economics
42680,Master of Analytics (Online)
43200,Graduate Certificate in Minerals and Energy Management
43210,Graduate Certificate in Family Business
43260,Graduate Certificate in Healthcare Leadership Management
43520,Master of Business Administration
43680,Master of Commerce - Articulation
43680,Master of Commerce (Articulation)
50320,Graduate Diploma in Forensic Science
50380,Graduate Diploma in Exercise Rehabilitation
50830,Doctor of Clinical Pharmacy
51210,Graduate Certificate in  Sleep Science
51220,Graduate Certificate in Forensic Science
51234,Master of Digital Health
51240,Graduate Certificate in Science Communication
51290,Graduate Certificate in Criminal Investigation
51300,Graduate Diploma in Anatomical Sciences
