Code,Title,CreditPoints
AACE1000,Academic Conduct Essentials (ACE),0
AACE4000,Academic Conduct Essentials (ACE),0
ACCT1100,Business Reporting and Analysis,6
ACCT1101,Financial Accounting,6
ACCT2112,Management Accounting,6
ACCT2201,Corporate Accounting,6
ACCT2242,Accounting Information Systems,6
ACCT2331,Taxation,6
ACCT3203,Contemporary Managerial Accounting,6
ACCT3206,Performance Measurement and Evaluation,6
ACCT3302,Financial Statement Analysis,6
ACCT3321,Financial Accounting: Theory and Practice,6
ACCT3322,Auditing,6
ACCT3323,Strategic Management Accounting,6
ACCT4440,Management Accounting: Issues and Perspectives,6
ACCT4471,Advanced Accounting Research,6
ACCT4486,Dissertation (Accounting) Part 1,6
ACCT4487,Dissertation (Accounting) Part 2,6
ACCT4488,Dissertation (Accounting) Part 3,6
ACCT4489,Dissertation (Accounting) Part 4,6
ACCT5432,Introductory Financial Accounting,6
ACCT5501,Contemporary Issues in Accounting,6
ACCT5511,Intermediate Corporate Financial Accounting,6
ACCT5521,Advanced Corporate Financial Accounting,6
ACCT5522,Principles of Auditing,6
ACCT5531,Financial Accounting: Theory and Practice,6
ACCT5532,Accounting Information Systems,6
ACCT5602,Accounting,6
ACCT5633,Accounting for Planning and Control,6
ACCT5637,Principles of Taxation,6
ACCT5701,Audit and Risk,6
ACCT5702,Taxation Australia,6
ACCT5703,Business Performance,6
ACCT5704,Financial Accounting and Reporting,6
ACCT5705,Chartered Accountants Capstone,6
ACCT5706,"Ethics, Risk and Technology",6
ACCX0101,Introduction to Business  and Accounting,6
ACCX1101,Financial Accounting,6
ACRI9000,Academic Conduct and Research Integrity (ACRI),0
AGRI1001,Feeding the World,6
AGRI2201,Pasture and Livestock Systems,6
AGRI2298,Agricultural exchange to Indonesia,24
AGRI3003,Decisions from Data in  Agriculture,6
AGRI3004,Agribusiness Planning and Management,6
AGRI4401,Precision Agriculture,6
AGRI4407,Plant and Human Nutrition,6
AGRI4409,Fundamentals of Agricultural Science,6
AGRI4410,Breeding and Biotechnology,6
AGRI5402,Agribusiness,6
AGRI5403,Advanced Commodity Marketing,6
AGRI5502,Case Studies in Breeding and Biotechnology,6
AGRI5503,Animal Production Systems,6
AGRI5505,Integrated Pest Management - Practical,6
AGRI5506,Integrated Pest Management - Principles,6
AGRI5507,Integrated Pest Management - Ecological,6
AGRI5508,Sustainable Grazing Systems,6
AGRI5571,Advanced Soil Science,6
AHEA2201,Aboriginal Health and Wellbeing,6
AHEA3200,Aboriginal Health Community Organisation Placement,6
AHEA3300,Aboriginal Health Research Project,6
AHEA3301,Aboriginal Social and Emotional Wellbeing,6
AHEA5755,Aboriginal Health,6
AHEA5801,Aboriginal Health Research and Ethics,6
AHEA5880,Aboriginal Health Thesis (Research) (full-time),72
AHEA5881,Aboriginal Health Thesis (Research) (part-time),72
